application_id,member_id,joined_on,member_status,solde,opened_on,account_status,requested_amount,term_months,purpose,product_id,plafond_produit,seuil_caution,exceptionnel,tax_status,esg_exclusion,has_external_credits,external_proofs_ok,applied_at,ca,cmv,operating_costs,financial_income,personal_income,family_cost,existing_debt_service,fonds_propres,total_debt,total_assets,current_assets,current_liabilities,stock_moyen,resultat_net,preuve_revenu,preuve_charge,saisonnier,dependance,concurrence,valeur_garanties,has_snap,epargne_3m,epargne_6m,nb_mvt_90j,nb_solde_ok,nb_solde,nb_impaye,max_jours_past,max_jours_out,nb_grave,ext_epargne_6m,ext_mvt_90j,bic_incidents,signaux_pat,label_defaut,label_par30_futur
20,31,2025-03-04,actif,50151,2025-03-04,actif,191290,8,Fonds VOL-0000019,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,555629,327821,116682,19000,59000,29000,19000,111125,44450,250033,100013,55562,49173,44450,N2,N1,False,False,4,0.0,1,132146,121719,0,0,0,0,0,0,1,0,0,0,0,0,0
21,32,2020-07-30,actif,156573,2020-07-30,actif,199210,10,Intrants VOL-0000020,2,2500000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,563820,225528,67658,20000,60000,30000,20000,112764,45105,253719,101487,56382,33829,45105,N3,N1,True,False,5,0.0,1,45187,71427,0,0,0,0,0,0,0,117547,0,0,0,0,0
22,33,2024-01-29,actif,178948,2024-01-29,actif,207130,12,Intrants VOL-0000021,2,2500000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,572011,234524,74361,21000,61000,31000,21000,114402,45760,257404,102961,57201,35178,45760,N3,N2,True,False,6,0.0,1,126670,116243,0,0,0,0,0,0,0,0,0,0,0,0,0
23,34,2024-11-22,actif,167602,2024-11-22,actif,215050,8,Intrants VOL-0000022,2,2500000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,580202,243684,81228,22000,62000,32000,22000,116040,46416,261090,104436,58020,36552,46416,N1,N1,True,False,7,0.0,1,92421,81994,0,0,0,0,0,0,0,0,0,0,0,0,0
24,35,2023-01-11,actif,146481,2023-01-11,actif,222970,12,Intrants VOL-0000023,2,2500000,2000000,False,a_verifier,False,True,True,2026-09-14 13:04:35.241438+00:00,588393,253008,88258,23000,63000,33000,23000,117678,47071,264776,105910,58839,37951,47071,N2,N1,True,False,8,0.0,1,121654,147894,0,1,1,0,0,0,0,89520,0,0,0,0,0
25,36,2025-11-20,actif,132560,2025-11-20,actif,230890,12,Intrants VOL-0000024,2,2500000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,596584,262496,95453,24000,64000,34000,24000,119316,47726,268462,107385,59658,39374,47726,N1,N1,True,False,1,0.0,1,76863,103103,12,0,0,0,0,0,0,0,0,0,0,0,0
26,37,2024-09-25,actif,247543,2024-09-25,actif,238810,8,Intrants VOL-0000025,2,2500000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,604775,272148,102811,25000,65000,35000,25000,120955,48382,272148,108859,60477,40822,48382,N1,N1,True,False,2,0.0,1,105636,95209,0,0,0,0,0,0,0,0,0,0,0,0,0
27,38,2025-11-03,actif,203379,2025-11-03,actif,246730,10,Intrants VOL-0000026,2,2500000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,612966,281964,110333,26000,66000,36000,26000,122593,49037,275834,110333,61296,42294,49037,N2,N2,True,False,3,0.0,1,114016,103589,2,0,1,0,16,0,0,0,0,0,0,0,0
28,39,2020-12-18,actif,262473,2020-12-18,actif,254650,8,Intrants VOL-0000027,2,2500000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,621157,291943,118019,27000,67000,37000,27000,124231,49692,279520,111808,62115,43791,49692,N1,N2,True,True,4,0.0,1,132016,121589,0,1,1,0,0,0,0,116764,0,0,0,0,0
29,40,2020-05-15,actif,136208,2020-05-15,actif,262570,8,Intrants VOL-0000028,2,2500000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,629348,302087,125869,28000,68000,38000,28000,125869,50347,283206,113282,62934,45313,50347,N3,N2,True,False,5,0.0,1,90709,84156,0,1,1,0,0,0,0,0,0,0,0,0,0
30,41,2020-07-02,actif,144178,2020-07-02,actif,270490,10,Intrants VOL-0000029,2,2500000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,637539,312394,133883,29000,69000,39000,29000,127507,51003,286892,114757,63753,46859,51003,N2,N2,True,False,6,0.0,1,137542,127115,0,0,1,0,8,0,0,0,0,0,0,0,0
31,42,2019-06-24,actif,1370578,2019-06-24,actif,278410,8,Fonds VOL-0000030,1,3000000,2000000,False,non_fourni,False,True,True,2026-09-14 13:04:35.241438+00:00,645730,322865,77487,0,70000,40000,30000,129146,51658,290578,116231,64573,48429,51658,N3,N1,False,False,7,0.0,1,99147,125387,12,1,1,0,0,0,0,114022,0,0,0,0,0
32,43,2020-08-02,actif,1302436,2020-08-02,actif,286330,12,Fonds VOL-0000031,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,653921,333499,85009,1000,71000,41000,31000,130784,52313,294264,117705,65392,50024,52313,N1,N2,False,False,8,0.0,1,86673,112913,25,1,1,0,0,0,0,0,0,0,0,0,0
33,44,2017-11-10,actif,980562,2017-11-10,actif,294250,10,Fonds VOL-0000032,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,662112,344298,92695,2000,72000,42000,32000,132422,52968,297950,119180,66211,51644,52968,N3,N1,False,False,1,0.0,1,75157,90836,0,1,1,0,0,0,0,0,0,0,0,0,0
34,45,2016-09-21,actif,1200639,2016-09-21,actif,302170,10,Fonds VOL-0000033,1,3000000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,670303,355260,100545,3000,73000,43000,33000,134060,53624,301636,120654,67030,53289,53624,N2,N2,False,False,2,0.0,1,124056,113629,0,2,2,0,0,0,0,140547,0,0,0,0,0
35,46,2017-12-22,actif,792305,2017-12-22,actif,310090,12,Fonds VOL-0000034,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,678494,366386,108559,4000,74000,44000,34000,135698,54279,305322,122128,67849,54957,54279,N2,N1,False,False,3,0.0,1,123045,149285,0,2,2,0,0,0,0,0,0,0,0,0,0
36,47,2020-09-22,actif,1254377,2020-09-22,actif,318010,12,Fonds VOL-0000035,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,686685,377676,116736,5000,75000,45000,35000,137337,54934,309008,123603,68668,56651,54934,N1,N1,False,False,4,0.0,1,160287,149860,0,0,0,0,0,0,0,0,0,0,0,0,0
37,48,2018-08-29,actif,891085,2018-08-29,actif,325930,10,Fonds VOL-0000036,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,694876,389130,125077,6000,76000,46000,36000,138975,55590,312694,125077,69487,58369,55590,N3,N2,False,True,5,0.0,1,96485,86058,0,0,0,0,0,0,0,0,0,0,0,0,0
38,49,2016-08-28,actif,1248514,2016-08-28,actif,333850,12,Fonds VOL-0000037,1,3000000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,703067,400748,133582,7000,77000,47000,37000,140613,56245,316380,126552,70306,60112,56245,N1,N2,False,False,6,0.0,1,81938,69225,0,2,2,0,0,0,0,55488,0,0,0,0,0
39,50,2020-06-11,actif,565970,2020-06-11,actif,341770,10,Fonds VOL-0000038,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,711258,412529,142251,8000,78000,48000,38000,142251,56900,320066,128026,71125,61879,56900,N3,N2,False,False,7,0.0,1,145331,134904,0,2,2,0,0,0,0,0,0,0,0,0,0
40,51,2020-01-19,actif,1240358,2020-01-19,actif,349690,12,Fonds VOL-0000039,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,719449,424474,151084,9000,79000,49000,39000,143889,57555,323752,129500,71944,63671,57555,N1,N1,False,False,8,0.0,1,56529,87694,0,1,1,0,0,0,0,0,0,0,0,0,0
41,52,2018-09-09,actif,821579,2018-09-09,actif,357610,8,Fonds VOL-0000040,1,3000000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,727640,291056,87316,10000,80000,50000,0,145528,58211,327438,130975,72764,43658,58211,N3,N1,False,False,1,0.0,1,180871,133777,0,1,1,0,0,0,0,54202,0,0,0,0,0
42,53,2020-09-25,actif,798763,2020-09-25,actif,365530,8,Fonds VOL-0000041,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,735831,301690,95658,11000,81000,51000,1000,147166,58866,331123,132449,73583,45253,58866,N1,N2,False,False,2,0.0,1,86508,106484,0,1,1,0,0,0,0,0,0,0,0,0,0
43,54,2018-11-24,actif,1279916,2018-11-24,actif,373450,12,Fonds VOL-0000042,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,744022,312489,104163,12000,82000,52000,2000,148804,59521,334809,133923,74402,46873,59521,N2,N1,False,False,3,0.0,1,121763,148003,0,1,1,0,0,0,0,0,0,0,0,0,0
44,55,2020-12-21,actif,845881,2020-12-21,actif,381370,12,Fonds VOL-0000043,1,3000000,2000000,False,a_verifier,False,True,True,2026-09-14 13:04:35.241438+00:00,752213,323451,112831,13000,83000,53000,3000,150442,60177,338495,135398,75221,48517,60177,N1,N1,False,False,4,0.0,1,45755,72827,0,2,2,0,0,0,0,96540,0,0,0,0,0
45,56,2018-11-04,actif,1208453,2018-11-04,actif,389290,12,Fonds VOL-0000044,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,760404,334577,121664,14000,84000,54000,4000,152080,60832,342181,136872,76040,50186,60832,N2,N2,False,False,5,0.0,1,75040,92880,0,0,0,0,0,0,0,0,0,0,0,0,0
46,57,2019-12-19,actif,1117429,2019-12-19,actif,397210,8,Fonds VOL-0000045,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,768595,345867,130661,15000,85000,55000,5000,153719,61487,345867,138347,76859,51880,61487,N3,N1,False,True,6,0.0,1,125127,151367,0,1,1,0,0,0,0,0,0,0,0,0,0
47,58,2019-01-24,actif,792640,2019-01-24,actif,405130,12,Fonds VOL-0000046,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,776786,357321,139821,16000,86000,56000,6000,155357,62142,349553,139821,77678,53598,62142,N1,N1,False,False,7,0.0,1,134428,123667,0,0,0,0,0,0,0,0,0,0,0,0,0
48,59,2019-10-10,actif,1526070,2019-10-10,actif,413050,12,Fonds VOL-0000047,1,3000000,2000000,False,a_verifier,False,True,True,2026-09-14 13:04:35.241438+00:00,784977,368939,149145,17000,87000,57000,7000,156995,62798,353239,141295,78497,55340,62798,N2,N2,False,False,8,0.0,1,86873,113113,0,2,2,0,0,0,0,101514,0,0,0,0,0
49,60,2017-05-09,actif,878369,2017-05-09,actif,420970,8,Fonds VOL-0000048,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,793168,380720,158633,18000,88000,58000,8000,158633,63453,356925,142770,79316,57108,63453,N3,N2,False,False,1,0.0,1,108098,134338,0,1,1,0,0,0,0,0,0,0,0,0,0
50,61,2019-02-24,actif,1626751,2019-02-24,actif,428890,8,Fonds VOL-0000049,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,801359,392665,168285,19000,89000,59000,9000,160271,64108,360611,144244,80135,58899,64108,N3,N1,False,False,2,0.0,1,71085,71621,1,1,1,0,0,0,0,0,0,0,0,0,0
51,62,2018-02-18,actif,1360004,2018-02-18,actif,436810,12,Fonds VOL-0000050,1,3000000,2000000,False,non_fourni,False,True,True,2026-09-14 13:04:35.241438+00:00,809550,404775,97146,20000,90000,60000,10000,161910,64764,364297,145719,80955,60716,64764,N1,N2,False,False,3,0.0,1,153259,142832,0,2,2,0,0,0,0,74673,0,0,0,0,0
52,63,2020-05-13,actif,1488709,2020-05-13,actif,444730,8,Fonds VOL-0000051,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,817741,417047,106306,21000,91000,61000,11000,163548,65419,367983,147193,81774,62557,65419,N3,N2,False,False,4,0.0,1,171029,123935,25,1,1,0,0,0,0,0,0,0,0,0,0
53,64,2019-06-17,actif,1664241,2019-06-17,actif,452650,10,Fonds VOL-0000052,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,825932,429484,115630,22000,92000,62000,12000,165186,66074,371669,148667,82593,64422,66074,N1,N1,False,False,5,0.0,1,126238,86148,23,1,1,0,0,0,0,0,0,0,0,0,0
54,65,2020-01-23,actif,1075867,2020-01-23,actif,460570,10,Fonds VOL-0000053,1,3000000,2000000,False,a_verifier,False,True,True,2026-09-14 13:04:35.241438+00:00,834123,442085,125118,23000,93000,63000,13000,166824,66729,375355,150142,83412,66312,66729,N3,N2,False,False,6,0.0,1,84211,73784,0,2,2,0,0,0,0,143296,0,0,0,0,0
55,66,2019-11-20,actif,880889,2019-11-20,actif,468490,10,Fonds VOL-0000054,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,842314,454849,134770,24000,94000,64000,14000,168462,67385,379041,151616,84231,68227,67385,N3,N2,False,True,7,0.0,1,92821,82394,0,1,1,0,0,0,0,0,0,0,0,0,0
56,67,2017-12-14,actif,1380135,2017-12-14,actif,476410,8,Fonds VOL-0000055,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,850505,467777,144585,25000,95000,65000,15000,170101,68040,382727,153090,85050,70166,68040,N2,N1,False,False,8,0.0,1,98667,88240,0,0,0,0,0,0,0,0,0,0,0,0,0
57,68,2017-10-27,actif,907267,2017-10-27,actif,484330,10,Fonds VOL-0000056,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,858696,480869,154565,26000,96000,66000,16000,171739,68695,386413,154565,85869,72130,68695,N1,N1,False,False,1,0.0,1,87575,77148,0,0,0,0,0,0,0,0,0,0,0,0,0
58,69,2017-05-22,actif,968172,2017-05-22,actif,492250,12,Fonds VOL-0000057,1,3000000,2000000,False,non_fourni,False,True,True,2026-09-14 13:04:35.241438+00:00,866887,494125,164708,27000,97000,67000,17000,173377,69350,390099,156039,86688,74118,69350,N3,N2,False,False,2,0.0,1,74640,100880,0,3,3,0,0,0,0,101639,0,0,0,0,0
59,70,2019-06-21,actif,1544116,2019-06-21,actif,500170,8,Fonds VOL-0000058,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,875078,507545,175015,28000,98000,68000,18000,175015,70006,393785,157514,87507,76131,70006,N2,N2,False,False,3,0.0,1,121963,115080,0,2,2,0,0,0,0,0,0,0,0,0,0
60,71,2016-12-08,actif,1167806,2016-12-08,actif,508090,8,Fonds VOL-0000059,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,883269,521128,185486,29000,99000,69000,19000,176653,70661,397471,158988,88326,78169,70661,N3,N2,False,False,4,0.0,1,85186,102954,0,2,2,0,0,0,0,0,0,0,0,0,0
61,72,2018-01-18,actif,1048973,2018-01-18,actif,516010,12,Fonds VOL-0000060,1,3000000,2000000,False,non_fourni,False,True,True,2026-09-14 13:04:35.241438+00:00,891460,356584,106975,0,100000,70000,20000,178292,71316,401157,160462,89146,53487,71316,N2,N2,False,False,5,0.0,1,139644,129217,0,0,0,0,0,0,0,112855,0,0,0,0,0
62,73,2016-07-28,actif,1231866,2016-07-28,actif,523930,8,Fonds VOL-0000061,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,899651,368856,116954,1000,101000,71000,21000,179930,71972,404842,161937,89965,55328,71972,N1,N2,False,False,6,0.0,1,178498,131404,0,1,1,0,0,0,0,0,0,0,0,0,0
63,74,2018-08-27,actif,956774,2018-08-27,actif,531850,12,Fonds VOL-0000062,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,907842,381293,127097,2000,102000,72000,22000,181568,72627,408528,163411,90784,57193,72627,N3,N1,False,False,7,0.0,1,93151,119391,0,1,1,0,0,0,0,0,0,0,0,0,0
64,75,2016-07-08,actif,1582915,2016-07-08,actif,539770,10,Fonds VOL-0000063,1,3000000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,916033,393894,137404,3000,103000,73000,23000,183206,73282,412214,164885,91603,59084,73282,N2,N1,False,True,8,0.0,1,119390,145630,0,3,3,0,0,0,0,128299,0,0,0,0,0
65,76,2020-01-28,actif,805933,2020-01-28,actif,547690,8,Fonds VOL-0000064,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,924224,406658,147875,4000,104000,74000,24000,184844,73937,415900,166360,92422,60998,73937,N1,N2,False,False,1,0.0,1,56970,59122,0,0,0,0,0,0,0,0,0,0,0,0,0
66,77,2020-08-13,actif,1140741,2020-08-13,actif,555610,8,Fonds VOL-0000065,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,932415,419586,158510,5000,105000,75000,25000,186483,74593,419586,167834,93241,62937,74593,N3,N2,False,False,2,0.0,1,116217,109468,1,2,2,0,0,0,0,0,0,0,0,0,0
67,78,2016-05-08,actif,1189066,2016-05-08,actif,563530,8,Fonds VOL-0000066,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,940606,432678,169309,6000,106000,76000,26000,188121,75248,423272,169309,94060,64901,75248,N1,N2,False,False,3,0.0,1,71426,97666,0,1,1,0,0,0,0,0,0,0,0,0,0
68,79,2016-10-16,actif,1698616,2016-10-16,actif,571450,10,Fonds VOL-0000067,1,3000000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,948797,445934,180271,7000,107000,77000,27000,189759,75903,426958,170783,94879,66890,75903,N1,N1,False,False,4,0.0,1,108668,98241,0,1,1,0,0,0,0,70135,0,0,0,0,0
69,80,2016-09-08,actif,1693074,2016-09-08,actif,579370,10,Fonds VOL-0000068,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,956988,459354,191397,8000,108000,78000,28000,191397,76559,430644,172257,95698,68903,76559,N2,N1,False,False,5,0.0,1,95733,121973,0,0,0,0,0,0,0,0,0,0,0,0,0
70,81,2019-08-28,actif,1083363,2019-08-28,actif,587290,10,Fonds VOL-0000069,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,965179,472937,202687,9000,109000,79000,29000,193035,77214,434330,173732,96517,70940,77214,N1,N1,False,False,6,0.0,1,127270,116843,0,1,1,0,0,0,0,0,0,0,0,0,0
71,82,2025-01-17,actif,470459,2025-01-17,actif,595210,12,Fonds VOL-0000070,1,3000000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,973370,486685,116804,10000,110000,80000,30000,194674,77869,438016,175206,97337,73002,77869,N1,N1,False,False,7,0.0,1,53847,57453,0,0,0,0,0,0,0,125981,0,0,0,0,0
72,83,2020-05-03,actif,495275,2020-05-03,actif,603130,12,Fonds VOL-0000071,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,981561,500596,127602,11000,111000,81000,31000,196312,78524,441702,176680,98156,75089,78524,N2,N2,False,False,8,0.0,1,176807,129713,0,0,2,0,16,0,0,0,0,0,0,0,0
73,84,2024-08-14,actif,590743,2024-08-14,actif,611050,10,Fonds VOL-0000072,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,989752,514671,138565,12000,112000,82000,32000,197950,79180,445388,178155,98975,77200,79180,N2,N1,False,True,1,0.0,1,153100,142673,0,0,1,0,8,0,0,0,0,0,0,0,0
